기준시간,원본시간,제목,미리보기
1일 전,2시간 전,"삼성자산운용, '삼성글로벌CoreAI목표전환형' 펀드 출시",삼성자산운용은 인공지능(AI) 핵심 기업에 투자하는 '삼성글로벌CoreAI목표전환형 펀드'를 출시한다고 17일 밝혔다. 이 펀드는 AI 생태계 내 주요 산업에 집중 투자하면서도 채권 비중을 안정적으로 유지해 투자 안정성을 높인 상품이다. '삼성글로벌CoreAI목표전환형 펀드'는 채권과 관련 주식으로 구성되며...
1일 전,2시간 전,"호반그룹, '2025 호반 넥스트 스타트업공모전' 개최…미래 성장 동력 확...","공모전 모집분야는 네 가지 부문으로 ▲스마트시티(건설로봇, 건설혁신, 에너지신기술, 건설신자재 등) ▲숙박/레저/유통(AI수요예측, 스마트골프장, 자원순환 등) ▲제조(스마트공장, 신재생에너지) ▲신사업(Ag-TECH, AI, 모빌리티, ESG 등)이다. 참가 희망 기업들은 오는 4월 7일까지 서울경제진흥원..."
1일 전,2시간 전,몸 커지는 디지털 헬스케어 시장...‘관건은 데이터 확보’,"디지털 헬스케어는 의료와 인공지능(AI) 및 빅테이터를 접목해 질병 예방부터 진단, 치료 과정을 아우르는 의료 서비스 산업이다. 크게 의료 기기, 디지털 치료, 헬스케어 서비스 분야 등으로 구분한다. 산업교육연구소에서 지난 3월 14일 진행된 ‘ 기반 디지털 헬스케어/의료서비스 전략 - 도전과 생존을..."
1일 전,2시간 전,"신세계아이앤씨, 신임 대표에 양윤지 상무 내정","플랫폼운영팀 팀장, 전략IT사업담당 상무, 플랫폼Biz담당 상무를 역임했다. 양 신임 대표는 포스(POS), 클라우드, AI 등 다양한 IT서비스 분야를 두루 거친 개발자 출신 IT 전문가로 신세계아이앤씨의 기술 경쟁력 강화와 새로운 성장동력 확보를 리딩할 것으로 기대된다고 회사 측은 설명했다."
1일 전,2시간 전,최대 1억원 지원…'2025 호반 넥스트 스타트업공모전',"공모전 모집분야는 ▲스마트시티(건설로봇, 건설혁신, 에너지신기술, 건설신자재 등) ▲숙박·레저·유통(AI수요예측, 스마트골프장, 자원순환 등) ▲제조(스마트공장, 신재생에너지) ▲신사업(Ag-TECH, AI, 모빌리티, ESG 등) 4개 부문이다. 참가 희망 기업들은 오는 4월7일까지 서울경제진흥원 '스타트업플러스'를..."
1일 전,2시간 전,"호반그룹, 혁신기술 공모전…""성장 동력 확보""","스마트시티(건설로봇·건설혁신·에너지신기술·건설신자재 등), 숙박·레저·유통(AI수요예측·스마트골프장·자원순환 등), 제조(스마트공장·신재생에너지), 신사업(Ag-테크·AI·모빌리티, ESG 등)이다. 참가 희망 기업들은 다음달 7일까지 서울경제진흥원 스타트업플러스에 접수하면 된다. 호반그룹은 서류..."
1일 전,2시간 전,"신세계아이앤씨, 신임 대표에 양윤지 상무 내정","플랫폼운영팀 팀장, 전략IT사업담당 상무, 플랫폼Biz담당 상무를 역임했다. 양 신임 대표는 포스(POS), 클라우드, AI 등 다양한 IT서비스 분야를 두루 거친 개발자 출신 IT 전문가로 신세계아이앤씨의 기술 경쟁력 강화와 새로운 성장동력 확보를 리딩할 것으로 기대된다고 회사 측은 설명했다."
1일 전,2시간 전,최대 1억원 지원…'2025 호반 넥스트 스타트업공모전',"공모전 모집분야는 ▲스마트시티(건설로봇, 건설혁신, 에너지신기술, 건설신자재 등) ▲숙박·레저·유통(AI수요예측, 스마트골프장, 자원순환 등) ▲제조(스마트공장, 신재생에너지) ▲신사업(Ag-TECH, AI, 모빌리티, ESG 등) 4개 부문이다. 참가 희망 기업들은 오는 4월7일까지 서울경제진흥원 '스타트업플러스'를..."
1일 전,2시간 전,"카카오게임즈, 벨루가 개발 두뇌 기능 향상 게임 '호두' 퍼블리싱","특히, 호두는 정밀한 인지기능 측정 결과에 AI 기술을 활용해 이용자의 연령, 인지기능 상태에 따라 가장 적합한 개인화된 훈련 프로그램을 제공한다. 정밀 측정 기술과 개인화된 맞춤 훈련 프로그램을 통해 치매 고위험군의 고령층 사용자에게는 치매 예방 및 지연 효과를, 일반 사용자들에게는 두뇌 기능..."
1일 전,2시간 전,"융기원-몽구스에이아이, AI 산업 대전환 지원 업무협약","이번 협약을 통해 양 기관은 인공지능 분야 상호 공동연구를 본격화해 데이터 활용 및 AI 기반 솔루션 상용화 등 다양한 사업을 함께 추진할 계획이다.... 몽구스에이아이는 2020년에 설립된 후 산업 현장에서 AI 기술을 효과적으로 활용할 수 있는 솔루션을 제공하며, 데이터 분석 및 알고리즘 개발을 통해..."
1일 전,2시간 전,"클라우다이크, 37억 투자 유치로 AI SaaS 개발 가속화","이번 투자금은 클라우다이크의 사업 확장과 미디어 특화 AI SaaS(Software as a Service, 서비스형 소프트웨어) 개발을 위한 연구개발(R&D)에 집중될 예정이다. 이번 투자 유치는 클라우다이크의 성장 전략에 있어 중요한 이정표로, 클라우드 스토리지 및 SaaS 시장에서의 입지를 강화하는데 도움이 될..."
1일 전,2시간 전,"호반그룹, '2025 호반 넥스트 스타트업 공모전' 개최","공모전 모집 분야는 ▲스마트시티(건설로봇, 건설 혁신, 에너지 신기술, 건설 신자재 등) ▲숙박·레저·유통(AI 수요 예측, 스마트 골프장, 자원순환 등) ▲제조(스마트 공장, 신재생에너지) ▲신사업(Ag-TECH, 인공지능(AI), 모빌리티, ESG 등)이다. 참가 희망 기업들은 4월 7일 까지 서울경제진흥원 '스타트업플러스..."
1일 전,2시간 전,"카카오게임즈, 인지능력 향상 기능성 게임 '호두' 퍼블리싱","특히 인공지능(AI) 기술을 적극 활용해 이용자의 연령, 인지기능 상태에 따라 가장 적합한 개인화된 훈련 프로그램을 이용할 수 있는 것이 특징이다. 카카오게임즈는 2023년 벨루가와 업무협약을 맺고 치매의 진단, 예방, 관리를 위한 기능성 게임 공동연구를 진행해왔다. 카카오게임즈 관계자는 ""게임을 매개로..."
1일 전,2시간 전,"신세계아이앤씨, 신임 대표에 양윤지 플랫폼Biz담당 상무 내정","신세계그룹 공채로 입사해 신세계아이앤씨 플랫폼운영팀 팀장, 전략IT사업담당 상무, 플랫폼Biz담당 상무를 역임했다. 양 신임 대표는 POS, 클라우드, AI 등 다양한 IT서비스 분야를 두루 거친 개발자 출신 IT 전문가로 신세계아이앤씨의 기술 경쟁력 강화와 새로운 성장동력 확보를 리딩할 것으로 기대된다."
1일 전,2시간 전,"한국이구스, 2025 의료산업전 참가","메디아나·셀바스헬스케어, KIMES 2025서 AI 융합 통한 커넥티비티 선보여 Igus Korea participates in 2025 Medical Industry Exhibition... through AI Convergence at KIMES 2025 韓イグス、2025療産業展に加 韓イグス(代表ユンチャンウォン)..."
1일 전,2시간 전,"유저 모으기 집중했던 AI 스타트업, 본격 유료화 시동",무료 기능을 내세워 유저 기반을 확보한 국내 인공지능(AI) 관련 스타트업들이 유료 서비스를 접목해 선보이고 있다./픽사베이 무료 기능을 내세워 유저 기반을 확보한 국내 인공지능(AI) 관련 스타트업들이 유료 서비스를 접목해 선보이고 있다. 어느 정도 시장에서 입지를 굳힌 뒤 수익 모델 전환에 나서는...
1일 전,2시간 전,"더존비즈온, 제4인뱅 대신 '혁신 금융 플랫폼' 전환 추진","인뱅 설립도 이런 계획 중 하나였지만, 인공지능(AI) 서비스 라인업 확장 등을 통해 기존 비즈니스 솔루션의 강점을 극대화할 수 있는 '금융 플랫폼' 구축에... 예를 들어 'AI 실시간 신용평가'의 경우 수 분 안에 맞춤형 단기 대출을 제공한다. 기존 대출 심사 과정이 대폭 축소되며 중소기업의 자금 유동성이 개선될..."
1일 전,2시간 전,"라온로드, 한국산 AI 반도체로 태국 스마트시티 시장 진출",이투데이=김우람 기자 | 태국 국회서 MOU ‘AI 스마트교통 및 범죄예방사업’ 협력 라온로드가 모회사 라온피플과 함께 태국 스마트시티 ‘THAILAND 4.0’ 프로젝트에 본격적으로 참여한다. 인공지능(AI) 플랫폼 전문기업 라온피플에 따르면 라온로드는 15일 태국 정부사업 및 프로젝트를 주력으로 하는...
1일 전,2시간 전,[혁신을 위한 변명 A to Z] 뉴욕에는 택시가 없다?,"혁신은 생태계의 문제다 정부와 관료, 정당과 국회는 AI가 모든 것을 좌우한다면서 기술개발과 혁신을 주장한다. 한편으로는 헌법과 혁신에 반하는 수많은 규제를 양산하고 있다. 지난 대통령 선거에서 양당과 후보자가 내세운 '디지탈 영토 확장' 공약이 얼마나 허망한지는 결과가 말해 준다. 현재..."
1일 전,2시간 전,"호반그룹, '2025 호반 넥스트 스타트업공모전' 개최","공모전 모집분야는 네 가지 부문으로 ▲스마트시티(건설로봇, 건설혁신, 에너지신기술, 건설신자재 등) ▲숙박/레저/유통(AI수요예측, 스마트골프장, 자원순환 등) ▲제조(스마트공장, 신재생에너지) ▲신사업(Ag-TECH, AI, 모빌리티, ESG 등)이다. 참가 희망 기업들은 오는 4월 7일까지 서울경제진흥원..."
1일 전,2시간 전,"딜라이브TV, 'AI 위클리 뉴스' 신설…권역별 지역뉴스 강화","2025년 ‘표준이 되는 지역뉴스’라는 슬로건을 선보인 딜라이브TV는 보다 세분화된 지역정보를 전달하기 위해 새로운 포맷의 뉴스프로그램 ‘권역별 AI 위클리 뉴스’를 선보인다고 17일 밝혔다. 권역별 AI 위클리 뉴스는 딜라이브의 주요 서비스 지역인 서울을 4대 권역(서북, 서남, 동남, 동북)으로 나눠..."
1일 전,2시간 전,"코어라인소프트, 3DR 랩스와 협력 강화... AI 소프트웨어 공급계약 연장",코어라인소프트가 세계적 인공지능(AI) 기술력을 바탕으로 미국 최대 의료영상 솔루션 기업 ‘3DR Labs(3DR 랩스)’와의 협력 강화에 나선다고 17일 밝혔다. 양사는 협력 강화 전략의 일환으로 AI 소프트웨어(SW) ‘AVIEW CAC(에이뷰 씨에이씨)’에 대한 공급계약도 연장하기로 결정했다. 공급계약 연장은...
1일 전,2시간 전,"클래스101, 창립 이래 첫 연간 흑자 달성...영업이익 39억원","올해 클래스101은 AI 기반 맞춤형 강의 추천 서비스 도입, 기업 대상 구독 서비스 확대, 크리에이터 홈 기능 고도화를 통해 성장세를 이어갈 계획이다. 특히 AI 추천 시스템을 활용해 크리에이터가 자신의 콘텐츠를 효과적으로 노출할 수 있도록 지원하고 기업 고객 대상의 맞춤형 교육 콘텐츠로 B2B 시장을..."
1일 전,2시간 전,신세계I&C 신임 대표에 양윤지 플랫폼비즈 상무 내정,"양 대표는 판매정보관리(POS), 클라우드, 인공지능(AI) 등 다양한 서비스를 거친 개발자 출신 정보통신(IT) 전문가다. 1996년 신세계그룹 공채로 입사해 신세계아이앤씨 플랫폼 운영 팀장, 전략IT 담당 상무, 플랫폼비즈 담당 상무를 역임했다."
